# Licence Number | Name | Branch | Trustee 1 | Trustee 2 | Note

# 6M Repeaters
290653,Taumatamaire APRS,,ZL2AJ,,Privately Licenced
290654,Pomarangai APRS,,ZL2AJ,,Privately Licenced
290655,Mt Threave APRS,,ZL2AJ,,Privately Licenced
263139,Whakatane APRS,51,,,
292368,Far North APRS,84,,,
295391,Old Man Range APRS,,,,Privately Licenced
295339,Tapanui Hill APRS,,,,Privately Licenced
298852,Pukekohe Wires-X,,,,Privately Licenced

#BEACONS
202338,"International Beacon Project, NCDX",46,ZL2BFY,,
215940,Upper Hutt 10m,63,ZL2HM,ZL2BRG,
292394,Upper Hutt 10m,63,ZL2HM,ZL2BRG,
83591,Greymouth 6m,49,"ZL3TY","ZL3ADH",
70236,Hawkes Bay 6m,25,"ZL2TC","ZL2DW",
215939,Upper Hutt 6m,63,ZL2HM,ZL2BRG,
202048,Blenheim 6m,22,ZL2BK,ZL2BJV,
250050,Greymouth 6m,49,ZL3TY,ZL3ADH,
412375,Wither Hills 6m,,,,
412376,Wither Hills 2m,,,,
250014,Waipuna 2m,,ZL2WHO,,Privately Licenced
153344,Rolleston Railway Station 10m,,,,Privately Licenced
250081,Rolleston Railway Station 6m,,,,Privately Licenced
215921,Auckland 2m,66,ZL1JD,ZL1TPH,
224659,Waikato 2m,81,ZL1THG,ZL1UJG,
237684,Waipuna 2m,,ZL2WHO,,Privately Licenced
243021,Hawkins Hill 2m,74,ZL3TC,ZL4JY,
241794,Christchurch 2m,05,ZL3RX,ZL3VP,Under Construction
241800,Greymouth 2m,49,ZL3TY,ZL3ADH,Under Construction
59682,New Plymouth 2m,27,ZL2BR,ZL2BZH,
55710,Hawkes Bay 2 m,25,ZL2TC,ZL2DW,
215920,Auckland 70 cm,66,ZL1JD,ZL1TPH,
224660,Waikato 70cm,81,ZL1THG,ZL1UJG,
239391,Waipuna 70cm,,ZL2WHO,,Privately Licenced
246787,Waipuna 23cm,74,ZL2WHO,ZL2BKC,
236082,Hawkins Hill 70cm,74,ZL3TC,ZL4JY,
241793,Christchurch 70cm,05,ZL3RX,ZL3VP,Under Construction
59679,New Plymouth 70cm,27,ZL2BR,ZL2BZH,
177985,Lower Hutt 32cm,74,ZL2TAR,ZL2BDI,
224661,Waikato 23cm,81,ZL1THG,ZL1UJG,
246419,Hawkins Hill 23cm,74,ZL3TC,ZL4JY,
242651,Lower Hutt 13cm,18,ZL2TVM,ZL2TWS,
221252,Waikato 12cm,81,ZL1THG,ZL1UJG,
202076,Muriwai 5cm,74,ZL1TBG,ZL1AVZ,
246751,Climie 3cm,63,,,
249395,Colonial Knob 9cm,74,ZL3TC,ZL4JY,
253005,Colonial Knob 32cm,74,ZL3TC,ZL4JY,
255472,Napier 6m,25,,,
257826,Napier 2m,25,,,
250018,Far North 6m,,,,Privately Licenced
261227,Christchurch 10m,5,,,
261220,Christchurch 6m,5,,,
267408,Hamilton 2m,81,,,
261488,Red Shed Wharite 6m,,,,
261487,Red Shed Wharite 2m,,,,
296095,Takaurunga 12cm,81,,,

#ATV
175154,Ngaio ATV,74,ZL2HD,ZL2TAR,
175654,Whitford ATV (Not Working),3,ZL1VRR,ZL1RCA,
174765,Oamaru ATV,64,ZL4DB,ZL4SN,

#DATV
256129,Belmont DATV,74,ZL2TAR,ZL3TC,Under test

#Fixed Stations
289209,Airstrip Hill Iwitua Road,,ZL1SEA,ZL2SEA,Privately Licenced
